"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae",0,0,0,0,0,0.00063,0,0,0,0,0.00573,0,0,0,0.00041,0,0,0.00163,0,0,0,0.02902,0.00246,0,0,0,0,0,0,0,0.00023,0.00839,0,0,0,0,0,0.00033,2e-04,0,0.02657,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified",0.01079,0.0023,0.00273,0.01246,0.00689,0.00082,0.00057,0.0742,0.01033,1.04203,0.05986,0.05188,0,0.03892,0,0.06523,0.05592,0.00268,0.18726,0.00172,0.00133,0.07082,0.04953,0,0,0,0.00605,6.9313,0.05828,0.32537,0.00039,0.00335,0.37709,0.00836,0.02413,0.07198,0,0,0.15909,0.00876,0.1178,0.10813
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae",0,0,0,0,0,0.00781,0,0,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0,0.03377,0,0.00296,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae",0.00304,0.00434,0.00432,0.05143,0.0126,0.00408,0.04191,0.05039,0.01445,0,0,0.1104,0,8e-04,0.01217,0,0.00112,0.00486,0.00967,0.00104,0.00182,0.00589,0.05737,5e-04,0,0.00225,0.00721,0.01838,0.00115,0.00344,0.00055,0.01258,0.01412,0.00349,0.00797,0.05722,0,0,0,0,0.04297,0.0394
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae",0,0.118,0.00048,0.00108,0.03548,0,0.02546,0.00899,10.93377,0.62119,0,0,0,0,0,0,0.1011,0,0,0.13693,0.42307,0,0.00634,0.00043,0,0.08002,0.08534,0,1.85151,0.00033,0,1.55279,0.02058,0.03445,0.19,0.70871,0,0.27176,0.16018,0,0,1.84543
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae",0.12027,0.4241,0.24408,0.0647,0.05064,0.00185,0.48737,0.31911,0.21069,0.61249,0.0015,0.03649,1.37312,0.0136,0.01947,0.81971,13.98344,1.2234,0.50761,26.78415,0,0.0173,2.25372,0.0223,0.02453,0.78492,0.41511,0,0.37242,10.4616,1.30993,0.04821,0.10587,4.24069,0.12123,2.36308,0.03832,0.00823,4.44991,0.03891,5.57519,0.38913
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae",0.00614,0.08681,0.77591,0.14163,3.84239,0.26525,20.94757,16.02287,0.86931,0.26919,0.00532,0.92545,0.86929,0.82901,0.03594,0.90496,0.10546,1.06777,4.98719,0.09076,0.10079,0.15412,9.69952,0.14669,0.00337,0.26224,0.42248,2.48704,0.19986,1.05256,0.42589,0.65812,2.88418,0.30086,1.23717,7.00068,0.07459,0.09646,4.62408,0.11613,0.92096,0.48504
"k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011",0.05233,0,0,0.00803,0,0.00305,0,0,0,0,0.00627,0,0.00257,0.00282,0.00393,0.01208,0.00114,0.00012,0,0.00851,0,0.00195,0,0.00038,0.02566,0,0,0,0.01134,0.07429,0.02532,0,0.00756,0,0,0,0,0.0444,0.01219,0.0085,0,0.00311
"k__Bacteria|p__Firmicutes|c__CFGB1012|o__OFGB1012|f__FGB1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.08602,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10309|o__OFGB10309|f__FGB10309",0,0,0,0,0,0,0,0,0,0,0.22494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52913,0
"k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318|f__FGB10318",1.07764,0,0,0.02887,0,0,0,0,0,0,0.00639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22814,0.00018,0
"k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477",0.78637,0,0,0.79801,0,0,0,0,0,0,0.42248,0,0,0,0.47118,0,0.01183,0,0,0.12874,0,0.05586,0,0,0,0.00584,0,0,0.16673,0.01512,0.01293,0,0,0,0,0,0,0,0,0.04765,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126",0,0,0,0,0,0,0,0,0,0.00084,0,0,0.02365,0.00445,0,0,0.0043,0,0,0.00716,0,0,0,0,0,0,0,0,0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0.00022
"k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201|f__FGB1201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5829,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1207|o__OFGB1207|f__FGB1207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01073,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211|f__FGB1211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217",0,0,0,0,0.01408,0,0,0,0,0.0039,0.03164,0,0,0.00933,0,0.07726,0.01893,0.00507,0,0.00618,0,0.00101,0,0,0,0,0,0,0.11113,0,0,0.00024,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226",0.34189,0.00721,0,0.02248,0.0104,0.00334,0.03123,0.00397,0,0.01016,0,0,0.03099,0.01725,0.00449,0.0141,0.06294,0.01411,0,0.04402,0,0,0,0,0.02092,0,0,0,0.31444,0.00356,0.01142,0,0.0089,0,0,0.00762,0,0,0,0.02222,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227",0,0.0107,0,0.00294,0.00212,0,0,0,0,0,0.15724,0,0.36614,0.00214,0.02736,0,0,0,0,0,0,0.04392,0,0,0.01425,0.05683,0,0,0,0.73983,0.10225,0,0,0,0,0,0,0.03529,0,0.00149,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1230|o__OFGB1230|f__FGB1230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0.00584,0,0,0.02863,0,0,0,0,0,0,0,0.00217,0
"k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249",0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0.10369,0,0,0,0,0,0,0,0.00461,0,0,0,0,0.00187,0,0,0,0,0.01318,0,0,0,0,0,0.0038,0.09272,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258|f__FGB1258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34171,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0,0,0,0
