"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB1380",0,0.03533,0,0,0.04217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03239,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB1385",0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola",0.0309,0.60941,0,0.14691,1.30232,0.07557,3.8942,5.31839,0.55641,0.09476,0.09283,0.387,7.19531,2.43221,0.34783,0.38507,0.54792,0.14328,0.63513,0.24649,0.33245,0.13289,0.2882,14.94207,1.76747,0.44465,0.75354,0.04933,0.98331,0.03248,0.61252,0.03366,0,2.7834,2.80447,0.05675,1.26283,0.45616,0,1.77692,0,0.18937
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella",0,0.00294,0,0,0.03753,0,0,0,0,0.0814,0.00047,0,0.18902,0.01916,0,0.10031,0.06753,0.00452,0,0.07707,0,0,0,0,0.04854,0.01437,0,0,0.07483,0,0,0,0,0.30327,0.05344,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter",0.00725,0.00207,0,0,0.01413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0.00905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09056,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas",0,0.00036,0,0,0.0026,0.00022,0.01475,0.00072,0,0.84526,0.00276,0,0.05583,0.24073,0.01628,0.00422,0.01441,0,0,0.00952,0,0,0,0,0.01309,0.01639,0,0,0.00776,0.00437,0.09711,0,0,0.05727,0.00605,0,0,0,0.01344,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter",0.07126,0,0,0.00489,0.00661,0,0.03694,0.01656,0,1.31971,0.01508,0,0,0.20979,5e-04,0.00353,0.19848,0,0,0.02091,0,0.00445,0,0,0.00661,0.00023,0,0.00355,0.07297,0.00296,0.43016,0,0,0.09664,0.013,0,0,0.02255,0.01226,0.08946,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas",0,0.00017,0,0.3542,0,0,0,0,0.0029,0,2.83649,0,2.82487,0,0,0,0.56441,0,0,0.00545,0,0.5638,0.00203,0,0.68854,0,0,0,0.3486,0.22325,0.17805,0,1.69937,0,0,0,0.34357,1.93504,0,0,0.00055,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides",0,0,0,0.00157,0,0,0,0,0,0.05578,0,0,0,0.01742,0.00132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981,0.00105,0.01604,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0,0,0,0.01091,0,0,0,0,0,0,0,0,0
