"clade_name","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_2","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_3","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_4","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_5","Sample_7","Sample_8","Sample_9"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter|s__Leucobacter_sp_Psy1|t__SGB111210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria|t__SGB16987",0,0,0,0,0,0,3e-04,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0.00211,0.0011
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__SGB16971_group",0.00437,0,0.00081,0.00762,0.03516,0.00365,0.08005,0.22679,0.00121,0,0,0.02204,0,0,0.00333,0.00053,0.00197,2e-04,0.00345,0.00113,0,0,0.00235,0.00067,0,0.00287,0,0,0,0.00316,0.00538,0,0.00214,0.00023,0.03065,0.09375,0,0,0,0.00211,0.02347,0.00433
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__SGB16986",0,0,0,0.00299,0,0.003,0,0,0,0,0,0,0,0,0.01065,0.00109,0,0,0.02419,0,0,0,0.00369,0,0,0,0,0,0,0.02309,0.00388,0,0.00676,0,0,0,0,0,0.02015,0,0.05381,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_SGB49305|t__SGB49305_group",0.00129,0,0,0,0,0,0.00849,0.00298,0,0,0,0,0,0,0.00183,0,0,0,0.00298,0,0,0,0.00373,0,0,0,0,0,0,0.04362,0.0073,0,0.00281,0,0.00273,0,0,0,0.01556,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_propionica|t__SGB15897",0,0,0,0,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_rubra|t__SGB15896",0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0.00613,0,0,0,0,0.00185,0,0,0,0.00019,0,0,0,0,0,0,0,0,5e-04,0,0,0,0.02297,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia|s__Arachnia_SGB15898|t__SGB15898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens|t__SGB15903",0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0.00192,0,0,0.0097,0.00721,0,0,0,0,0,0,0,5e-04,0,0.00187,0.00014
